This list is a compilation of total centuries scored by international cricketers, split between different formats of the game. A qualification of 15 overall centuries is used for entry onto the men's list. To date, 127 cricketers have scored 15 or more international centuries, 83 of whom went on to score 20 or more centuries, 44 have scored 30 or more centuries, and 21 have a total of 40 or more centuries. Across all three formats, 9 players have scored 50 or more centuries, 5 have scored 60 or more centuries and 3 have scored 70 or more centuries, 2 have scored 80 or more centuries in their respective international careers. Only one cricketer has scored 100 centuries. Five centuries is used as the qualifying standard for the women's list; to date, 28 players have reached this mark. == Key ==

Table:
0,1
^,Inducted into the ICC Cricket Hall of Fame
ǂ,Denotes player who is still playing internationally
—,Indicates player never played format



== Men's international cricket ==
Source: ESPNcricinfo
Last updated: 26 February 2025

Table:
Rank,Player,Period,Team,Test,ODI,T20I,Total
93,Michael Atherton,1989–2001,England,16,2,–,18
93,Dean Jones,1984–1994,Australia,11,7,–,18
93,Allan Lamb,1982–1992,England,14,4,–,18
93,Damien Martyn,1992–2006,Australia,13,5,0,18
93,Ben Stokes ǂ,2011–2024,England,13,5,0,18
93,Upul Tharanga,2005–2019,Sri Lanka,3,15,0,18
93,Michael Vaughan,1999–2008,England,18,0,0,18
93,Dilip Vengsarkar,1976–1992,India,17,1,–,18
93,Usman Khawaja ǂ,2011–2025,Australia,16,2,0,18
101,Denis Compton,1937–1957,England,17,–,–,17
101,Daryll Cullinan,1993–2001,South Africa,14,3,–,17
101,Stephen Fleming,1994–2008,New Zealand,9,8,0,17
101,Dimuth Karunaratne ǂ,2011–2024,Sri Lanka,16,1,–,17
101,KL Rahul ǂ,2014–2025,India,8,7,2,17
101,Marlon Samuels,2000–2018,West Indies,7,10,0,17
101,Brendan Taylor,2004–2021,Zimbabwe,6,11,0,17
101,Yuvraj Singh,2000–2017,India,3,14,0,17
110,MS Dhoni,2004–2019,India/Asia XI,6,10,0,16
110,Andy Flower^,1992–2003,Zimbabwe,12,4,–,16
110,Eoin Morgan,2006–2022,England/ Ireland,2,14,0,16
110,Thilan Samaraweera,1998–2013,Sri Lanka,14,2,0,16
110,Paul Stirling ǂ,2008–2024,Ireland,1,14,1,16
110,Herbert Sutcliffe^,1924–1935,England,16,–,–,16
110,Graham Thorpe,1993–2005,England,16,0,–,16
117,Dennis Amiss,1966–1977,England,11,4,–,15
117,Paul Collingwood,2001–2017,England,10,5,0,15
117,Jack Hobbs^,1909–1930,England,15,–,–,15
117,Nasser Hussain,1989–2003,England,14,1,–,15
